,FIS code,Athlete,Year,Nation,Podiums,Wins,Top 10
203,3485849,NECHAEVSKAYA Anna,1991.0,RUS,0.0,0.0,2.0
204,3426110,SMEDAAS Magni,1995.0,NOR,0.0,0.0,1.0
205,3426535,KNUDSEN Tiril Liverud,1998.0,NOR,0.0,0.0,0.0
206,3426383,HARVIKEN Johanne Hauge,1997.0,NOR,0.0,0.0,0.0
207,3426149,SKAANES Marte,1996.0,NOR,0.0,0.0,0.0
208,3195250,CHAMIOT MAITRAL Laura,1998.0,FRA,0.0,0.0,1.0
209,3195253,DUCORDEAU Juliette,1998.0,FRA,0.0,0.0,1.0
210,3195224,BULLE Emilie,1997.0,FRA,0.0,0.0,1.0
211,3482280,SPITSOV Denis,1996.0,RUS,2.0,0.0,10.0
212,3422186,TURTVEIT Vebjoern,1994.0,NOR,0.0,0.0,1.0
213,3422521,AUGDAL Eirik Sverdrup,1995.0,NOR,0.0,0.0,1.0
214,3422263,KVAALE Gaute,1995.0,NOR,0.0,0.0,0.0
215,3420577,DYRHAUG Niklas,1987.0,NOR,0.0,0.0,1.0
216,3422803,STENSHAGEN Mattis,1996.0,NOR,0.0,0.0,1.0
217,3422474,BRUVOLL Ole Joergen,1995.0,NOR,0.0,0.0,0.0
218,3423264,AMUNDSEN Harald Oestberg,1998.0,NOR,0.0,0.0,0.0
219,3020003,ESTEVE ALTIMIRAS Ireneu,1996.0,AND,0.0,0.0,1.0
220,3420961,KROGH Finn Haagen,1990.0,NOR,2.0,0.0,6.0
221,3481161,BELOV Evgeniy,1990.0,RUS,1.0,1.0,2.0
222,3490145,ROJO Imanol,1990.0,ESP,0.0,0.0,0.0
223,3421154,NYENGET Martin Loewstroem,1992.0,NOR,1.0,0.0,5.0
224,3500015,RICKARDSSON Daniel,1982.0,SWE,0.0,0.0,2.0
225,3501176,RUUS Marcus,1994.0,SWE,0.0,0.0,0.0
226,3270010,MALONEY WESTGAARD Thomas,1995.0,IRL,0.0,0.0,0.0
227,3506166,SVAHN Linn,1999.0,SWE,6.0,5.0,10.0
228,3295370,FRANCHI Francesca,1997.0,ITA,0.0,0.0,0.0
229,3105146,BEATTY Dahria,1994.0,CAN,0.0,0.0,0.0
230,3486563,MATSOKINA Hristina,1998.0,RUS,0.0,0.0,1.0
231,3295000,BROCARD Elisa,1984.0,ITA,0.0,0.0,0.0
232,3486592,DUBOTOLKINA Nina,1998.0,RUS,0.0,0.0,1.0
233,3565002,FABJAN Vesna,1985.0,SLO,0.0,0.0,0.0
234,3515252,MEIER Alina,1996.0,SUI,0.0,0.0,0.0
235,3565034,CEBASEK Alenka,1989.0,SLO,0.0,0.0,0.0
236,3486375,KUCHERUK Olga,1997.0,RUS,0.0,0.0,0.0
237,3155270,HYNCICOVA Petra,1994.0,CZE,0.0,0.0,2.0
238,3515289,STEINER Desiree,1998.0,SUI,0.0,0.0,0.0
239,3515273,FISCHER Lea,1998.0,SUI,0.0,0.0,0.0
240,3486733,GRUKHVINA Anna,1999.0,RUS,0.0,0.0,0.0
241,3515267,WIESER Fabiana,1996.0,SUI,0.0,0.0,0.0
242,3045070,WRIGHT Casey,1994.0,AUS,0.0,0.0,0.0
243,3675046,RYAZHKO Darya,1995.0,KAZ,0.0,0.0,0.0
244,3045074,PAUL Katerina,1996.0,AUS,0.0,0.0,0.0
245,3315021,ILIC Anja,1998.0,SRB,0.0,0.0,0.0
246,3715013,KUSMUK Sanja,1996.0,BIH,0.0,0.0,0.0
247,3421754,TAUGBOEL Haavard Solaas,1993.0,NOR,3.0,0.0,8.0
248,3220016,YOUNG Andrew,1992.0,GBR,0.0,0.0,2.0
249,3501278,PERSSON Anton,1995.0,SWE,0.0,0.0,0.0
250,3482806,TERENTEV Alexander,1999.0,RUS,0.0,0.0,1.0
251,3501340,GRATE Marcus,1996.0,SWE,1.0,0.0,4.0
252,3190282,JAY Renaud,1991.0,FRA,2.0,1.0,5.0
253,3290712,GRAZ Davide,2000.0,ITA,0.0,0.0,1.0
254,3220033,CLUGNET James,1996.0,GBR,0.0,0.0,2.0
255,3120068,WANG Qiang,1993.0,CHN,0.0,0.0,0.0
256,3530583,HANNEMAN Logan,1993.0,USA,0.0,0.0,1.0
257,3481775,KRASNOV Andrey,1994.0,RUS,1.0,0.0,2.0
258,3190429,CHAUTEMPS Arnaud,1997.0,FRA,0.0,0.0,1.0
259,3510417,KAESER Erwan,1992.0,SUI,0.0,0.0,1.0
260,3510351,FURGER Roman,1990.0,SUI,1.0,0.0,3.0
