88,89,90.0,3325046,HAN Dasom,1994.0,KOR,3:43.18,+40.17,263.4,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
89,90,88.0,3125067,MA Chun,1994.0,CHN,3:44.79,+41.78,273.95,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
90,91,92.0,3325085,LEE Eui Jin,2001.0,KOR,3:46.98,+43.97,288.31,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
91,92,91.0,3745008,GALSTYAN Katya,1993.0,ARM,3:53.70,+50.69,332.38,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Women,Individual,Sprint,Sprint,0
92,1,10.0,3422819,KLAEBO Johannes Hoesflot,1996.0,NOR,2:37.42,2:37.42,0.0,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
93,2,25.0,3422619,VALNES Erik,1996.0,NOR,2:38.94,+1.52,11.59,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
94,3,11.0,3290326,PELLEGRINO Federico,1990.0,ITA,2:40.34,+2.92,22.26,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
95,4,27.0,3420909,GOLBERG Paal,1990.0,NOR,2:41.31,+3.89,29.65,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
96,5,37.0,3501010,HAEGGSTROEM Johan,1992.0,SWE,2:42.35,+4.93,37.58,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
97,6,26.0,3180861,MAEKI Joni,1995.0,FIN,2:42.38,+4.96,37.81,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
98,7,3.0,3180508,HAKOLA Ristomatti,1991.0,FIN,2:42.84,+5.42,41.32,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
99,8,9.0,3481539,USTIUGOV Sergey,1992.0,RUS,2:42.94,+5.52,42.08,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
100,9,46.0,3390169,KILP Marko,1993.0,EST,2:43.04,+5.62,42.84,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
101,10,14.0,3180535,NISKANEN Iivo,1992.0,FIN,2:43.52,+6.10,46.5,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
102,11,7.0,3482277,BOLSHUNOV Alexander,1996.0,RUS,2:43.60,+6.18,47.11,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
103,12,33.0,3510377,HEDIGER Jovian,1990.0,SUI,2:43.63,+6.21,47.34,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
104,13,34.0,3190353,CHAUVIN Valentin,1995.0,FRA,2:44.25,+6.83,52.06,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
105,14,41.0,3290383,RASTELLI Maicol,1991.0,ITA,2:44.34,+6.92,52.75,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
106,15,23.0,3190345,JOUVE Richard,1994.0,FRA,2:44.62,+7.20,54.89,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
107,16,8.0,3421164,SKAR Sindre Bjoernestad,1992.0,NOR,2:44.76,+7.34,55.95,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
108,17,44.0,3180990,HAARALA Juuso,1996.0,FIN,2:44.83,+7.41,56.49,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020,Classic,Men,Individual,Sprint,Sprint,0
