,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
153,62,31,3190255,GROS Baptiste,1990,FRA,2:51.37,+13.95,106.34,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
154,63,62,3190268,BACKSCHEIDER Adrien,1992,FRA,2:51.42,+14.00,106.72,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
155,64,89,3501259,EKSTROEM Axel,1995,SWE,2:51.54,+14.12,107.64,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
156,65,50,3150637,PECHOUSEK Jan,1997,CZE,2:51.62,+14.20,108.25,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
157,66,67,3670078,KLIMIN Olzhas,1996,KAZ,2:51.64,+14.22,108.40,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
158,67,81,3690074,KRASOVSKYI Oleksii,1994,UKR,2:51.97,+14.55,110.91,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
159,68,101,3501223,BURMAN Jens,1994,SWE,2:52.31,+14.89,113.51,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
160,69,104,3181163,KARPPANEN Miro,1998,FIN,2:52.39,+14.97,114.12,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
161,70,54,3482350,POROSHKIN Ilia,1995,RUS,2:52.70,+15.28,116.48,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
162,71,73,3501297,SANDSTROEM Bjoern,1995,SWE,2:52.80,+15.38,117.24,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
163,72,64,3390207,ROOS Henri,1998,EST,2:53.00,+15.58,118.77,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
164,73,1,3420605,ROETHE Sjur,1988,NOR,2:53.47,+16.05,122.35,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
165,74,47,3200210,EISENLAUER Sebastian,1990,GER,2:53.54,+16.12,122.88,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
166,75,15,3420586,HOLUND Hans Christer,1989,NOR,2:53.89,+16.47,125.55,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
167,76,75,3670115,PUKHKALO Vitaliy,1992,KAZ,2:54.45,+17.03,129.82,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
168,77,69,3290407,SALVADORI Giandomenico,1992,ITA,2:54.47,+17.05,129.97,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
169,78,80,3190302,PARISSE Clement,1993,FRA,2:54.71,+17.29,131.80,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
170,79,99,3390240,HIMMA Martin,1999,EST,2:54.75,+17.33,132.11,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
171,80,22,3220002,MUSGRAVE Andrew,1990,GBR,2:55.11,+17.69,134.85,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
172,81,56,3510479,RUEESCH Jason,1994,SUI,2:55.39,+17.97,136.98,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
173,82,63,3510534,KLEE Beda,1996,SUI,2:55.97,+18.55,141.41,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
174,83,90,3670022,VELICHKO Yevgeniy,1987,KAZ,2:56.07,+18.65,142.17,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
175,84,82,3200331,WICK Thomas,1991,GER,2:56.13,+18.71,142.62,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
176,85,88,3660065,SEMENOV Michail,1986,BLR,2:56.16,+18.74,142.85,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
177,86,70,3510342,BAUMANN Jonas,1990,SUI,2:56.28,+18.86,143.77,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
178,87,71,3250038,EINARSSON Snorri Eythor,1986,ISL,2:56.45,+19.03,145.06,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
179,88,91,3200205,BOEGL Lucas,1990,GER,2:57.15,+19.73,150.40,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
180,89,98,3300494,BABA Naoto,1996,JPN,2:57.36,+19.94,152.00,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
181,90,59,3430249,BURY Dominik,1996,POL,2:57.42,+20.00,152.46,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
182,91,83,3300190,YOSHIDA Keishin,1987,JPN,2:57.51,+20.09,153.14,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
183,92,86,3120063,SHANG Jincai,1993,CHN,2:58.61,+21.19,161.53,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
184,93,102,3690111,KOSTRUBA Yan,1999,UKR,2:58.77,+21.35,162.75,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
185,94,77,3530496,NORRIS David,1990,USA,2:59.73,+22.31,170.07,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
186,95,96,3530532,PATTERSON Scott,1992,USA,3:00.79,+23.37,178.15,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
187,96,72,3200072,KATZ Andreas,1988,GER,3:01.50,+24.08,183.56,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
188,97,85,3200356,DOBLER Jonas,1991,GER,3:01.82,+24.40,186.00,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
189,98,100,3740072,MIKAYELYAN Mikayel,1999,ARM,3:02.14,+24.72,188.44,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
190,99,79,3550114,BIKSE Indulis,1995,LAT,3:03.05,+25.63,195.38,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
191,100,87,3530679,BRATRUD Kyle,1993,USA,3:03.14,+25.72,196.06,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
192,101,105,3740023,POGHOSYAN Tadevos,1993,ARM,3:04.81,+27.39,208.79,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
193,102,97,3320139,LEE Geon-yong,1993,KOR,3:05.35,+27.93,212.91,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
194,103,94,3700081,KORISTEK Jan,1996,SVK,3:06.22,+28.80,219.54,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
195,104,103,3320106,JEONG Jongwon,1992,KOR,3:10.32,+32.90,250.79,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
196,105,78,3120099,ZHU Mingliang,1998,CHN,3:20.75,+43.33,330.30,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
197,106,93,3181001,IKONEN Joel,1994,FIN,3:21.37,+43.95,335.03,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
198,1,6,3425365,FALLA Maiken Caspersen,1990,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
199,2,15,3505809,SUNDLING Jonna,1994,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
200,3,2,3535320,MAUBET BJORNSEN Sadie,1989,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
201,4,5,3426112,STENSETH Ane Appelkvist,1995,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
202,5,10,3505754,NILSSON Stina,1993,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
203,6,30,3426201,WENG Tiril Udnes,1996,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
204,7,17,3486010,NEPRYAEVA Natalia,1995,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
205,8,18,3565005,VISNAR Katja,1984,SLO,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
206,9,7,3565062,LAMPIC Anamarija,1995,SLO,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
207,10,9,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
208,11,4,3535304,CALDWELL Sophie,1990,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
209,12,16,3506008,RIBOM Emma,1997,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
210,13,11,3425381,SVENDSEN Anna,1990,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
211,14,13,3205305,GIMMLER Laura,1993,GER,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
212,15,22,3515221,FAEHNDRICH Nadine,1995,SUI,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
213,16,1,3295157,SCARDONI Lucia,1991,ITA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
214,17,12,3535410,DIGGINS Jessica,1991,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
215,18,14,3506105,HAGSTROEM Johanna,1998,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
216,19,25,3205460,HENNIG Katharina,1996,GER,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
217,20,27,3425301,JOHAUG Therese,1988,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
218,21,3,3295193,LAURENT Greta,1992,ITA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
219,22,19,3505675,SETTLIN Evelina,1992,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
220,23,23,3515087,VAN DER GRAAFF Laurien,1987,SUI,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
221,24,28,3185137,KYLLOENEN Anne,1987,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
222,25,29,3535316,BRENNAN Rosie,1988,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
223,26,8,3185256,PARMAKOSKI Krista,1990,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
224,27,20,3185168,NISKANEN Kerttu,1988,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
225,28,21,3425404,EIDE Mari,1989,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
226,29,24,3505956,ROENNLUND Elina,1996,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
227,30,26,3185447,LYLYNPERA Katri,1994,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
228,31,16,3425499,WENG Heidi,1991,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
229,32,58,3435201,SKINDER Monika,2001,POL,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
230,33,48,3295241,GANZ Caterina,1995,ITA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
231,34,28,3506079,LUNDGREN Moa,1998,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
232,35,14,3505217,KALLA Charlotte,1987,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
233,36,46,3055108,UNTERWEGER Lisa,1995,AUT,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
234,36,49,3185579,MATINTALO Johanna,1996,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
235,38,61,3665121,SERONOSOVA Polina,1993,BLR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
236,39,11,3505800,DAHLQVIST Maja,1994,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
237,40,47,3506154,KARLSSON Frida,1999,SWE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
238,41,39,3665115,KIRILLOVA Anastasia,1996,BLR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
239,42,17,3425421,HAGA Ragnhild,1991,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
240,43,37,3535562,KERN Julia,1997,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
241,44,50,3155314,RAZYMOVA Katerina,1991,CZE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
242,45,38,3185114,MONONEN Laura,1984,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
243,46,34,3425669,KALVAA Anne Kjersti,1992,NOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
244,47,3,3055067,STADLOBER Teresa,1993,AUT,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
245,48,18,1274580,ISHIDA Masako,1980,JPN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
246,49,54,3155186,SCHUETZOVA Sandra,1991,CZE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
247,50,40,3205434,KREHL Sofie,1995,GER,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
248,51,44,3185514,JULIN Andrea,1994,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
249,52,41,3155324,JANATOVA Katerina,1997,CZE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
250,53,86,3185610,ALAKOSKI Anni,1997,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
251,54,76,3486373,SMIRNOVA Ekaterina,1996,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
252,55,33,3155344,BERANOVA Tereza,1998,CZE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
253,56,73,3435202,KALETA Weronika,1999,POL,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
254,57,56,3205407,FINK Pia,1995,GER,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
255,58,55,3155249,NOVAKOVA Petra,1993,CZE,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
256,59,62,3435197,MARCISZ Izabela,2000,POL,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
257,60,57,3535602,SWIRBUL Hailey,1998,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
258,61,77,3185357,KAINULAINEN Anni,1992,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
259,62,59,3485862,ZHAMBALOVA Alisa,1994,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
260,63,43,3485490,TSAREVA Olga,1990,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
261,64,74,3185633,NISSINEN Vilma,1997,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
262,65,80,3486213,DURKINA Lidia,1997,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
263,66,78,3185705,OLKKONEN Tiia,1999,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
264,67,36,3705003,PROCHAZKOVA Alena,1984,SVK,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
265,68,53,3205491,FRAEBEL Antonia,1997,GER,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
266,69,67,3125046,LI Xin,1992,CHN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
267,70,66,3295322,COMARELLA Anna,1997,ITA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
268,71,69,3185305,PAJUNOJA Maaret,1990,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
269,72,32,3205403,CARL Victoria,1995,GER,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
270,73,63,3185551,JOENSUU Jasmi,1996,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
271,74,65,3486314,KIRPICHENKO Yana,1996,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
272,75,71,3555052,EIDUKA Patricija,2000,LAT,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
273,76,60,3185752,KORVA Anita,1999,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
274,77,75,3675035,SHEVCHENKO Anna,1993,KAZ,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
275,78,64,3125082,CHI Chunxue,1998,CHN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
276,79,79,3665023,KAMINSKA Valentyna,1987,UKR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
277,80,70,3185343,SAAPUNKI Susanna,1992,FIN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
278,81,83,3486471,ZHEREBYATEVA Anna,1997,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
279,82,72,3535385,PATTERSON Caitlin,1990,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
280,83,82,3535448,FRANKOWSKI Rosie,1991,USA,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
281,84,84,3675049,BYKOVA Irina,1993,KAZ,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
282,85,89,3675036,MANDRIKA Olga,1993,KAZ,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
283,86,85,3695082,KROL Yuliia,1998,UKR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
284,87,81,3486232,GOLOVAN Diana,1994,RUS,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
285,88,87,3675066,TYULENEVA Valeriya,1997,KAZ,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
286,89,90,3325046,HAN Dasom,1994,KOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
287,90,88,3125067,MA Chun,1994,CHN,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
288,91,92,3325085,LEE Eui Jin,2001,KOR,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
289,92,91,3745008,GALSTYAN Katya,1993,ARM,,,,Women's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
290,1,1,3422819,KLAEBO Johannes Hoesflot,1996,NOR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
291,2,4,3420909,GOLBERG Paal,1990,NOR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
292,3,15,3190345,JOUVE Richard,1994,FRA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
293,4,11,3482277,BOLSHUNOV Alexander,1996,RUS,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
294,5,18,3421320,IVERSEN Emil,1991,NOR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
295,6,30,3501255,SVENSSON Oskar,1995,SWE,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
296,7,5,3501010,HAEGGSTROEM Johan,1992,SWE,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
297,8,22,3500664,HALFVARSSON Calle,1989,SWE,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
298,9,20,3500330,PETERSON Teodor,1988,SWE,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
299,10,24,3481988,SEMIKOV Ilia,1993,RUS,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
300,11,6,3180861,MAEKI Joni,1995,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
301,12,23,3190323,CHANAVAT Lucas,1994,FRA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
302,13,2,3422619,VALNES Erik,1996,NOR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
303,14,10,3180535,NISKANEN Iivo,1992,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
304,15,21,3481163,RETIVYKH Gleb,1991,RUS,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
305,16,7,3180508,HAKOLA Ristomatti,1991,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
306,17,9,3390169,KILP Marko,1993,EST,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
307,18,12,3510377,HEDIGER Jovian,1990,SUI,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
308,19,19,3180865,VUORINEN Lauri,1995,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
309,20,27,3180436,MIKKONEN Juho,1990,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
310,21,13,3190353,CHAUVIN Valentin,1995,FRA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
311,22,16,3421164,SKAR Sindre Bjoernestad,1992,NOR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
312,23,26,3290379,DE FABIANI Francesco,1993,ITA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
313,24,28,3560121,LAMPIC Janez,1996,SLO,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
314,25,29,3481432,MALTSEV Artem,1993,RUS,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
315,26,3,3290326,PELLEGRINO Federico,1990,ITA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
316,27,14,3290383,RASTELLI Maicol,1991,ITA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
317,28,17,3180990,HAARALA Juuso,1996,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
318,29,25,3180984,LEPISTO Lauri,1996,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
319,30,8,3481539,USTIUGOV Sergey,1992,RUS,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
320,31,60,3670075,BORTSOV Konstantin,1995,KAZ,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
321,32,35,3530713,BOLGER Kevin,1993,USA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
322,33,13,3481132,LARKOV Andrey,1989,RUS,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
323,34,19,3190111,MANIFICAT Maurice,1986,FRA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
324,35,51,3181098,SUHONEN Verneri,1997,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
325,36,95,3181015,HAKALA Karri,1996,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
326,37,36,3150570,NOVAK Michal,1996,CZE,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
327,38,74,3120031,SUN Qinghai,1988,CHN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
328,39,6,3420994,TOENSETH Didrik,1991,NOR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
329,40,55,3482105,YAKIMUSHKIN Ivan,1996,RUS,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
330,41,48,3150549,SELLER Ludek,1995,CZE,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
331,42,106,3180557,HYVARINEN Perttu,1991,FIN,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
332,43,42,3660055,VORANAU Aliaksandr,1990,BLR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
333,44,40,3290446,ZELGER Stefan,1995,ITA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
334,45,53,3501252,JONSSON Olof,1995,SWE,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
335,46,17,3420228,SUNDBY Martin Johnsrud,1984,NOR,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
336,47,49,3530511,BJORNSEN Erik,1991,USA,,,,Men's SP  C Final,Ruka (FIN),"Nov 29, 2019",Stage World Cup,2020
